,E,E SCF (h),File,G,H,S,zpe,Relative E,Relative H,Relative G
Int1a,-3821475.624186405,-1455.94342831,VXh_13_SMD.log,-3821674.6764689046,-3821473.145714405,0.6759374626865674,1041.068511,0.0,0.0,0.0
TS1b,-3821330.6059541446,-1455.88400779,VXh13_20_P9_SMD.log,-3821519.6603326453,-3821328.1274821446,0.6424043283582089,1034.110936,145.01823226036504,145.01823226036504,155.01613625930622
Int1c,-3821390.18009819,-1455.91184638,VXh13_1a23_SMD.log,-3821579.53640919,-3821387.70162619,0.6434170149253734,1047.858054,85.44408821500838,85.44408821500838,95.14005971467122
